"name","symbol","trading_name","isin"
"Dr. Soliman Abdel Kader Fakeeh Hospital Co.","4017","FAKEEH CARE","SA562GSHUOH7"
"Dr. Sulaiman Al Habib Medical Services Group","4013","SULAIMAN ALHABIB","SA1510P1UMH1"
"East Pipes Integrated Company for Industry","1321","EAST PIPES","SA15GH80KKH0"
"Eastern Province Cement Co.","3080","EPCCO","SA0007879527"
"Electrical Industries Co.","1303","EIC","SA13LG50KBH9"
"Elm Co.","7203","ELM","SA15GG53GHH3"
"Emaar The Economic City","4220","EMAAR EC","SA000A0KDVM8"
"Etihad Atheeb Telecommunication Co.","7040","ATHEEB TELECOM","SA128G53E019"
"Etihad Etisalat Co.","7020","ETIHAD ETISALAT","SA000A0DM9P2"
"Fawaz Abdulaziz Alhokair Co.","4240","CENOMI RETAIL","SA000A0LB2R6"
"Filing and Packing Materials Manufacturing Co.","2180","FIPCO","SA0007879352"
"First Milling Co.","2283","FIRST MILLS","SA15QGU13LH9"
"Fitaihi Holding Group","4180","FITAIHI GROUP","SA0007879832"
"Gulf General Cooperative Insurance Co.","8260","GULF GENERAL","SA12CG541219"
"Gulf Insurance Group","8250","GIG","SA12A0540T12"
"Gulf Union Alahlia Cooperative Insurance Co.","8120","GULF UNION ALAHLIA","SA000A0MR898"
"Halwani Bros. Co.","6001","HB","SA1230A2TOH3"
"Herfy Food Services Co.","6002","HERFY FOODS","SA12GGPITP13"
"Jabal Omar Development Co.","4250","JABAL OMAR","SA000A0MR864"
"Jadwa REIT Al Haramain Fund","4332","JADWA REIT ALHARAMAIN","SA14A0523M59"
"Jadwa REIT Saudi Fund","4342","JADWA REIT SAUDI","SA14GG523R59"
"Jamjoom Pharmaceuticals Factory Co.","4015","JAMJOOM PHARMA","SA15QGU1UNH6"
"Jarir Marketing Co.","4190","JARIR","SA000A0BLA62"
"Jazan Development and Investment Co.","6090","JAZADCO","SA0007879642"
"Kingdom Holding Co.","4280","KINGDOM","SA31RG522S19"
"Knowledge Economic City","4310","KEC","SA12IG523B16"
"Lazurde Company for Jewelry","4011","LAZURDE","SA1430IHULH1"
"Leejam Sports Co.","1830","LEEJAM SPORTS","SA14K0Q0SJ16"
"LIVA Insurance Co.","8280","LIVA","SA12CG541C16"
"Lumi Rental Co.","4262","LUMI","SA15SH122J13"
"Maharah Human Resources Co.","1831","MAHARAH","SA14QH2GSJH8"
"Makkah Construction and Development Co.","4100","MCDC","SA0007879659"
"Malath Cooperative Insurance Co.","8020","MALATH INSURANCE","SA000A0MJ2J4"
"MBC Group Co.","4072","MBC GROUP","SA15U0CHVK19"
"MEFIC REIT Fund","4346","MEFIC REIT","SA14I0523T54"
"Methanol Chemicals Co.","2001","CHEMANOL","SA124060V8H1"
"Miahona Co.","2084","MIAHONA","SA562G5H0I13"
"Middle East Healthcare Co.","4009","SAUDI GERMAN HEALTH","SA141H01UKH9"
"Middle East Paper Co.","1202","MEPCO","SA13Q050IP16"
"Middle East Pharmaceutical Industries Co.","4016","AVALON PHARMA","SA160G51UO10"
"Middle East Specialized Cables Co.","2370","MESC","SA11TGN15119"
"Mobile Telecommunication Company Saudi Arabia","7030","ZAIN KSA","SA121053DR18"
"Modern Mills for Food Products Co.","2284","MODERN MILLS","SA1610O13M15"
